#ISIN       ;WKN   ;Symbol;Title
DE000A1EWWW0;A1EWWW;ADS.DE;Adidas
DE0008404005;840400;ALV.DE;Allianz
DE000BASF111;BASF11;BAS.DE;Basf
DE000BAY0017;BAY001;BAYN.DE;Bayer
DE0005200000;520000;BEI.DE;Beiersdorf
DE0005190003;519000;BMW.DE;BMW
DE000CBK1001;CBK100;CBK.DE;Commerzbank
DE0005439004;543900;CON.DE;Continental
DE0007100000;710000;DAI.DE;Daimler
DE0005810055;581005;DB1.DE;Deutsche Boerse
DE0005140008;514000;DBK.DE;Deutsche Bank
DE0005552004;555200;DPW.DE;Deutsche Post
DE0005557508;555750;DTE.DE;Deutsche Telekom
DE000ENAG999;ENAG99;EOAN.DE;E. On
DE0005785802;578580;FME.DE;Fresenius Medical Care
DE0005785604;578560;FRE.DE;Fresenius
DE0006047004;604700;HEI.DE;HeidelbergCement
DE0006048432;604843;HEN3.DE;Henkel
DE0006231004;623100;IFX.DE;Infineon
DE0008232125;823212;LHA.DE;Deutsche Lufthansa
DE0006483001;648300;LIN.DE;Linde
DE0005470405;547040;LXS.DE;Lanxess
DE0006599905;659990;MRK.DE;Merck
DE0008430026;843002;MUV2.DE;Muenchener Rueck.
DE0007037129;703712;RWE.DE;RWE
DE0007164600;716460;SAP.DE;Sap
DE000KSAG888;KSAG88;SDF.DE;K+S
DE0007236101;723610;SIE.DE;Siemens
DE0007500001;750000;TKA.DE;ThyssenKrupp
DE0007664039;766403;VOW3.DE;Volkswagen

