#ISIN       ;WKN   ;Symbol;Title
US88579Y1010;;MMM.F;3M
US0258161092;;AXP.F;American Express
US00206R1023;;T.F;AT&T
US0970231058;;BA.F;Boeing
US1491231015;;CAT.F;Caterpillar
US1667641005;;CVX.F;Chevron
US17275R1023;;CSCO.F;Cisco Systems
US1912161007;;KO.F;Coca-Cola
US2635341090;;DD.F;Dupont
US30231G1022;;XOM.F;Exxon Mobil
US3696041033;;GE.F;General Electric
US38141G1040;;GS.F;Goldman Sachs
US4370761029;;HD.F;Home Depot
US4592001014;;IBM.F;IBM
US4581401001;;INTC.F;Intel
US4781601046;;JNJ.F;Johnson & Johnson
US46625H1005;;JPM.F;JPMorgan Chase
US5801351017;;MCD.F;McDonald's
US58933Y1055;;MRK.F;Merck & Co
US5949181045;;MSFT.F;Microsoft
US6541061031;;NKE.F;Nike
US7170811035;;PFE.F;Pfizer
US7427181091;;PG.F;Procter & Gamble
US89417E1091;;TRV.F;Travelers
US9130171096;;UTX.F;United Technologies
US91324P1021;;UNH.F;UnitedHealth
US92343V1044;;VZ.F;Verizon Communic.
US92826C8394;;V.F;Visa
US9311421039;;WMT.F;Wal-Mart
US2546871060;;DIS.F;Walt Disney
