#ISIN  ;WKN   ;Symbol;Title
       ;540811;ARL.DE;Aareal Bank
       ;676650;NDA.DE;Aurubis
       ;550135;SPR.DE;Axel Springer
       ;590900;GBF.DE;Bilfinger
       ;A1DAHH;BNR.DE;Brenntag
       ;CLS100;CLS1.DE;Celesio AG
       ;748020;DEQ.DE;Deutsche EuroShop
       ;A0HN5C;DWNI.DE;Deutsche Wohnen
       ;587800;GIL.DE;Gildemeister
       ;556520;DUE.DE;Duerr
       ;785602;ZIL2.DE;ElringKlinger
       ;938914;EAD.DE;European Aeronautic Defence and Space
       ;KD8888;KD8.DE;Kabel Deutschland
       ;EVNK01;EVK.DE;Evonik
       ;577220;FIE.DE;Fielmann
       ;577330;FRA.DE;Fraport
       ;579043;FPE3.DE;Fuchs Petrolub
       ;A0LBDT;GFJ.DE;Gagfah
       ;660200;G1A.DE;GEA Group
       ;A0LD6E;GXI.DE;Gerresheimer
       ;330410;GWI1.DE;Gerry Weber
       ;GSW111;GIB.DE;GSW Immobilien
       ;840221;HNR1.DE;Hannover Rueck
       ;607000;HOT.DE;Hochtief
       ;A1PHFF;BOSS.DE;HUGO BOSS
       ;KC0100;KCO.DE;Kloeckner & Co
       ;633500;KRN.DE;Krones AG
       ;620440;KU2.DE;KUKA
       ;LEG111;LEG.DE;Leg Immobilien
       ;540888;LEO.DE;Leoni
       ;593700;MAN.DE;MAN
       ;725750;MEO.DE;Metro
       ;A0D9PT;MTX.DE;MTU Aero Engines
       ;A1H8BV;NOEJ.DE;NORMA GROUP
       ;LED400;OSR.DE;OSRAM LICHT
       ;PSM777;PSM.DE;ProSiebenSat.1 Media
       ;701080;RAA.DE;Rational
       ;703000;RHM.DE;Rheinmetall
       ;704230;RHK.DE;Rhoen Klinikum
       ;861149;RRTL.DE;RTL GROUP
       ;620200;SZG.DE;Salzgitter
       ;SKYD00;SKYD.DE;Sky Deutschland
       ;725180;SAZ.DE;STADA Arzneimittel
       ;729700;SZU.DE;Suedzucker
       ;SYM999;SY1.DE;Symrise
       ;830350;TEG.DE;TAG Immobilien
       ;TLX100;TLX.DE;TALANX
       ;TUAG00;TUI1.DE;TUI
       ;WCH888;WCH.DE;Wacker Chemie
       ;A0CAYB;WIN.DE;Wincor Nixdorf

