#ISIN       ;WKN   ;Symbol;Title
US0028241000;;ABT.F;Abbott Laboratories
US00724F1012;;ADBE.F;Adobe Systems
US0138171014;;AA.F;Alcoa
US02209S1033;;MO.F;Altria Group
US0231351067;;AMZN.F;Amazon.com
US0311621009;;AMGN.F;Amgen
US0378331005;;AAPL.F;Apple
US0382221051;;AMAT.F;Applied Materials
US0394831020;;ADM.F;Archer Daniels Midland
US0533321024;;AZO.F;Autozone
US0605051046;;BAC.F;Bank of America
US0846707026;;BRK/B.F;Berkshire Hathaway
US09062X1037;;BIIB.F;Biogen Idec
US1101221083;;BMY.F;Bristol-Myers Squibb
US1113201073;;BRCM.F;Broadcom
US1510201049;;CEL.F;Celgene
US1729674242;;C.F;Citigroup
US1941621039;;CL.F;Colgate-Palmolive
US20030N1019;;CMCSA.F;Comcast
US20825C1045;;COP.F;ConocoPhillips
US2441991054;;DE.F;Deere & Co
US2605431038;;DOW.F;Dow Chemical
US2786421030;;EBAY.F;Ebay
US2855121099;;EA.F;Electronic Arts
US5324571083;;LLY.F;Eli Lilly
US2686481027;;EMC.F;EMC
US31428X1063;;FDX.F;Fedex
US3364331070;;FSLR.F;First Solar
US3453708600;;F.F;Ford Motor
US35671D8570;;FCX.F;Freeport-McMoran
US3755581036;;GILD.F;Gilead Sciences
US38259P5089;;GOOG.F;Google
US4062161017;;HAL.F;Halliburton
US4128221086;;HOG.F;Harley-Davidson
US4282361033;;HPQ.F;Hewlett-Packard
US48203R1041;;JNPR.F;Juniper Networks
US4878361082;;K.F;Kellogg
US5398301094;;LMT.F;Lockheed Martin
US57636Q1040;;MA.F;Mastercard
US5770811025;;MAT.F;Mattel
US61166W1018;;MON.F;Monsanto
US6174464486;;MS.F;Morgan Stanley
US6200763075;;MSI.F;Motorola Solutions
US64110D1046;;NTAP.F;NetApp
US64110L1061;;NFLX.F;Netflix
US6516391066;;NEM.F;Newmont Mining
US6668071029;;NOC.F;Northrop Grumman
US68389X1054;;ORCL.F;Oracle
US7134481081;;PEP.F;PepsiCo
US7181721090;;PM.F;Philip Morris
US7415034039;;PCLN.F;Priceline.com
US7475251036;;QCOM.F;Qualcomm
US7512121010;;RL.F;Ralph Lauren
US79466L3024;;CRM.F;Salesforce.com
US80004C1018;;SNDK.F;Sandisk
AN8068571086;;SLB.F;Schlumberger
US8552441094;;SBUX.F;Starbucks
US8715031089;;SYMC.F;Symantec
US8825081040;;TXN.F;Texas Instruments
US8865471085;;TIF.F;Tiffany & Co.
US8873173038;;TWX.F;Time Warner
US8969452015;;TRIP.F;TripAdvisor
US9078181081;;UNP.F;Union Pacific
US9113121068;;UPS.F;UPS
US92532F1003;;VRTX.F;Vertex Pharmac.
US9182041080;;VFC.F;VF
US9497461015;;WFC.F;Wells Fargo
US9843321061;;YHOO.F;Yahoo!
US9884981013;;YUM.F;Yum! Brands
