#ISIN  ;WKN   ;Symbol;Title
       ;510300;ADV.DE;ADVA
       ;A0WMPJ;AIXA.DE;Aixtron
       ;A0NFN3;BBZA.DE;BB Biotech
       ;515870;BC8.DE;Bechtle
       ;541910;COK.DE;CANCOM
       ;531370;AFX.DE;Carl Zeiss Meditec
       ;543730;COP.DE;CompuGroup Medical
       ;927200;DLG.DE;Dialog Semiconductor
       ;555063;DRW3.DE;Draegerwerk
       ;554550;DRI.DE;Drillisch
       ;566480;EVT.DE;Evotec
       ;A0Z2ZZ;FNTN.DE;freenet
       ;622910;JEN.DE;Jenoptik
       ;605395;KBC.DE;Kontron
       ;645000;LPK.DE;LPKF Laser & Electronics
       ;663200;MOR.DE;MorphoSys
       ;645290;NEM.DE;Nemetschek
       ;A0D655;NDX1.DE;Nordex
       ;691660;PFV.DE;Pfeiffer Vacuum Technology
       ;A0Z1JH;PSAN.DE;PSI
       ;901626;QIA.DE;Qiagen
       ;513700;QSC.DE;QSC
       ;716563;SRT3.DE;Sartorius
       ;A0DJ6J;S92.DE;SMA Solar Technology
       ;330400;SOW.DE;Software
       ;728900;SBS.DE;Stratec Biomedical
       ;A1J5RX;O2D.DE;TELEFONICA
       ;508903;UTDI.DE;United Internet
       ;747206;WDI.DE;Wirecard
       ;XNG888;O1BC.DE;Xing

